year,population,agricultural_land_sqkm
2000,66418659.0,628840.0
2001,67452005.0,638230.0
2002,68011317.0,640440.0
2003,68769340.0,642650.0
2004,70256316.0,644860.0
2005,71828455.0,476310.0
2006,73392747.0,478520.0
2007,74602648.0,480730.0
2008,75514204.0,466850.0
2009,76457825.0,466862.0
2010,77420842.0,465394.0
2011,78383598.0,463926.0
2012,79370580.0,462458.0
2013,80414686.0,459540.0
2014,81502045.0,459540.0
2015,82619362.0,459540.0
2016,83812228.0,459540.0
2017,85026754.0,464350.0
2018,86117998.0,469150.0
2019,87051648.0,469883.333
2020,87723443.0,470276.667
2021,88455488.0,470670.0
2022,89524246.0,
2023,90608707.0,
2024,91567738.0,
